date,w,valu,close,ATLANTIC TELE-NETWORK INC,BCE INC,BROADCAST INTERNATIONAL INC,BT GROUP PLC  -ADR,CENTURYLINK INC,CHINA MOBILE LTD  -ADR,CHINA UNICOM (HONG KONG)-ADR,z,DELTATHREE INC,DEUTSCHE TELEKOM AG  -ADR,ENVENTIS CORP,FRONTIER COMMUNICATIONS CORP,GENERAL COMMUNICATION  -CL A,z,HELLENIC TELECOM ORG  -ADR,IDT CORP,INTERNET GOLD-GOLDEN LINES,KT CORP  -ADR,LEAP WIRELESS INTL INC,LEVEL 3 COMMUNICATIONS INC,MILLICOM INTL CELLULAR SA,NEW ULM TELECOM INC,NII HOLDINGS INC,NIPPON TELEGRPH & TELE  -ADR,ORANGE  -ADR,PARTNER COMMUN CO LTD  -ADR,PHILIPPINE LONG DISTANCE-ADR,PORTUGAL TELECOM SGPS  -ADR,PREMIERE GLOBAL SERVICES INC,PT INDOSAT TBK -ADR,ROGERS COMMUNICATIONS  -CL B,ROYAL KPN NV  -ADR,SHENANDOAH TELECOMMUN CO,SK TELECOM LTD  -ADR,SPRINT CORP,SWISSCOM AG  -ADR,TELECOM ARGENTINA  -ADR B,TELECOM CP NEW ZEALAND  -ADR,TELEFONICA BRASIL SA  -ADR,TELEFONICA SA  -ADR,TELEKOMUNIKASI INDONESIA-ADR,TELEPHONE & DATA SYSTEMS INC,TELSTRA CORP LTD  -ADR,TELUS CORP,TIM PARTICIPACOES SA  -ADR,TURKCELL ILETISIM HIZM  -ADR,TW TELECOM INC,UNILAVA CORP,US CELLULAR CORP,USA MOBILITY INC,VERIZON COMMUNICATIONS INC,VIMPELCOM LTD -ADR,VODAFONE GROUP PLC  -ADR,All companies
1998,-1.28,0.737,2.08,1.3,5.027,-15.7,7.47,1.667,0.355,0.05,0.6,-0.37,0.96,0.99,0.09,-0.14,-2.61,0.7,-0.63,-0.13,0.28,-1.96,-6.45,0.833,0.623,-1.083,2.64,2.7,-0.15,0,0.533,-1.67,1.14,1.1,1.117,0.248,0.22,1.8,2.22,1.9,1.413,1.36,0.407,0.259,0.948,0.723,0.915,1.963,0.517,-1.14,-53,2.48,-29.34,1.9,-0.012,1.395,-1.107232143
1999,-1.38,1.02,1.93,0.82,6.317,-7.9,5.05,1.72,0.243,0.1,0.25,-1.65,0.43,1.07,0.45,-0.2,-3.72,0.58,-1.8,-0.16,0.56,-9.19,-21.9,-0.405,0.64,-2.372,0.89,2.71,-1.16,0.35,0.471,-0.72,1.88,1.485,0.849,0.285,0.38,2.01,1.88,1.8,1.413,0.55,0.472,0.6,4.683,0.895,0.505,0.274,0.827,-0.93,1,3.44,-9.21,2.72,-0.085,0.599,-0.154178571
2000,-2.95,1.293,2.35,1.004,0.918,-5,-3.93,1.65,0.76,0.35,-1.82,-1.67,1.84,0.58,-0.15,-0.29,-5.43,0.59,20.07,-1.03,1.26,0.18,-60.15,5.46,0.57,-0.322,1.35,3.23,-1.02,-0.02,0.412,-1.22,1.82,0.145,1.737,0.437,0.98,1.47,2.64,1.4,1.174,0.96,0.541,0.51,2.226,0.86,0.615,0.22,0.517,0.01,2,2.71,-4.86,3.98,-0.129,-4.714,-0.426535714
2001,-0.36,1.393,2.16,0.736,2,-3.9,1.71,2.43,0.91,0.43,-1.36,-1.23,-0.83,0.63,-0.28,0.05,-14.84,0.37,23.37,-0.25,1.36,-14.27,-218.7,-2.115,0.54,-1.537,-1.595,-6.68,-0.38,0.22,0.22,-4.84,1.35,-0.755,-5.23,0.725,1.12,-0.16,4.07,0.24,0.83,1.22,0.361,0.81,-2.64,0.8,-0.16,0.732,-0.227,-0.71,29,2.1,-8.98,0.22,0.071,-7.103,-3.874178571
2002,-0.4,1.53,2.24,0.76,1.486,-2.6,4.92,1.34,1.03,0.44,-11.18,-0.42,-6.14,-1.19,-2.93,0.08,-0.93,0.41,-6.24,0.31,3.16,-14.91,-41.1,-5.903,0.78,16.502,0.67,-20.04,0.1,0.16,0.33,0.27,0.36,0.33,-4.13,-0.128,1.65,1.18,0.88,-6.56,-0.274,0.39,-1.091,1.88,-15.501,0.8,-0.235,0.517,0.052,-3.19,5.5,-0.22,82.99,1.67,0.171,-4.756,-0.271071429
2003,-0.09,1.43,1.8,0.976,1.628,-0.2,3.02,2.4,1.09,0.41,5.44,-0.29,0.38,0.61,0.44,0.25,0.76,0.53,-0.66,0.18,1.59,-10.19,-19.2,2.737,0.75,0.645,1.93,2.07,1.46,1,0.24,0.5,1.79,0.135,1.4,0.43,2.44,0.41,1.91,0.61,1.245,1.67,0.532,1.43,0.948,0.89,0.355,1.124,0.245,-0.75,-37.5,0.88,0.81,1.27,0.307,-5.091,-0.337035714
2004,-0.43,1.65,1.5,0.964,1.41,-0.85,4.04,2.45,1.29,0.42,0.22,-0.11,1.49,0.59,0.24,0.35,-0.12,0.24,-3.27,0.31,2.94,15.08,-10.05,0.82,0.64,0.405,2.14,1.54,0.6,2.6,0.58,0.63,1.69,-0.115,0.85,0.45,2.17,-0.71,2.49,-1.15,1.392,2.5,0.782,1.3,0.681,1.13,0.655,1.469,0.583,-1.15,4.5,1.26,0.58,2.62,0.426,-4.505,0.896553571
2005,-0.43,0.96,1.42,1.092,1.869,-0.26,3.2,2.55,1.68,0.49,-0.3,-0.03,1.55,0.64,0.59,0.38,-1.62,-0.36,-1.35,0.22,2.46,0.5,-14.7,0.09,1.07,1.19,1.49,2.7,0.48,4.1,0.65,0.69,1.57,-0.065,0.78,0.467,2.8,0.88,2.56,2.24,1.849,3.32,1.08,1.61,5.179,1.36,0.84,1.886,1.037,-0.93,-4,1.79,0.47,2.67,0.602,-10.099,0.587625
2006,-0.16,0.74,1.89,1.73,1.82,-0.56,6.77,3.17,2.13,0.38,0.31,0.02,0.98,0.4,0.79,0.34,-2.19,0.78,-6.96,0.34,3.31,-0.41,-11.85,2.43,6.86,1.91,1.46,0.48,1.05,3.58,1.03,0.37,1.45,0.85,1.04,0.777,2.37,0.34,2.32,0.4,-0.759,3.91,1.28,2.43,1.279,0.96,1.405,-0.547,0.99,-0.8,-2.5,2.05,1.47,1.88,0.798,-3.208,0.770089286
2007,0,1.02,1.95,2.5,4.77,-0.85,4.27,3.82,2.98,0.98,0.25,-0.29,0.19,0.65,0.65,0.26,0.07,0.99,-5.1,1.8,2.54,-1.13,-10.95,4.35,0.9,2.27,2.31,3.53,1.56,4.98,0.96,0.49,2,1.01,2.07,0.8,2.69,-10.31,3.52,1.26,1.828,3.94,2.733,2.74,2.686,1.12,1.92,0.167,1.53,-0.28,0,3.59,-0.19,1.9,1.44,4.583,1.169053571
2008,-0.04,1.13,2.17,2.29,0.92,-0.32,-0.16,3.57,4.13,0.4,0.39,-0.36,0.47,0.61,0.58,-0.04,-0.17,0.85,-8.64,-0.3,0.88,-2.17,-2.85,5.01,0.53,2.21,2.02,2.17,1.61,3.84,0.89,0.61,1.58,1.28,1.07,1.12,1.45,-0.98,3.18,1.42,1.45,3.1,2.27,1.97,0.745,1.43,1.44,0.297,2.09,0.06,-1,0.38,-5.83,2.26,0.52,1.522,0.804535714
2009,0.06,1.27,2.12,2.33,2.03,-0.34,2.02,2.55,4.2,0.59,0.37,-0.05,0.11,0.86,0.38,0.07,9.86,0.55,-4.75,0.89,0.96,-3.3,-5.7,5.09,0.32,2.3,1.99,1.52,1.96,4.56,1.12,0.36,1.52,2.28,1.91,1.06,1.64,-0.84,3.59,1.87,0.7,3.7,2.45,2.45,1.628,1.33,1.5,0.476,1.24,0.19,-0.03,2.48,2.95,1.29,1.09,4.565,2.095339286
2010,0.1,0.53,3.23,2.51,2.85,-0.43,3.11,3.13,4.52,0.25,0.09,-0.03,0.52,0.91,0.23,0.17,-1.05,0.05,1,-3.13,2.12,-11.49,-5.55,15.19,0.4,2.03,2.33,1.91,2.26,4.87,0.25,0.15,0.86,2.64,1.53,0.79,1.88,-1.16,3.74,2.33,0.69,4.28,2.983,2.64,1.26,1.33,1.615,4.848,1.33,2.26,-0.01,1.54,3.5,0.9,1.39,4.473,1.440517857
2011,1.04,-0.54,0.66,1.42,2.83,0.02,4.12,1.07,4.98,0.28,0.04,-0.04,0.17,0.63,0.15,0.13,-2.58,0.16,1.13,-3.64,2.26,-4.11,-6.03,8.5,0.4,1.31,2.22,1.91,0.75,3.73,0.51,0.34,1.03,2.83,1.38,0.57,2.19,-0.96,1.41,2.86,0.36,3.81,1.56,2.46,1.849,1.41,1.85,1.52,0.85,0.39,-0.03,2.06,4.01,0.85,0.36,4.015,1.11525
2012,0.2,-1.66,1.25,3.15,3.4,0.02,4.06,1.25,5.16,0.48,0,-0.02,-1.61,0.62,0.14,0.23,-3.31,0.65,1.68,-0.53,2.1,-2.45,-1.96,5.02,0.62,-4.46,2.3,0.41,0.82,3.92,0.36,0.59,0.34,3.35,0.65,0.69,1.91,-1.44,3.7,2.78,0.64,2.93,1.15,2.68,0.75,1.41,2.035,1.46,1.33,0.51,-0.02,1.31,1.23,0.31,1.33,0.238,0.958982143
2013,0.02,-0.11,3.39,1.84,2.4,-0.02,4.29,-0.4,5,0.73,-0.32,-0.03,0.29,0.57,0.11,0.23,-1.25,0.4,0.77,0.38,-0.37,-8.2,-0.49,2.3,0.56,-9.36,2.47,0.98,0.25,3.48,0.54,0.41,-2.11,3.05,0.1,1.23,2.18,-0.87,3.65,2.52,0.5,2.12,1.39,2.39,1.31,1.41,1.9,1.32,1.4,0.25,-0.01,1.67,1.27,4.01,-1.53,7.02,0.839821429
